优先级,助手分层,是否需审核,桶,子类,API（助手显示名优先）,id,命名空间/类,方法,子方法,调用形态,文档availability(api.sqlite),助手availability,GP实测,UI实测,本次判定,运行时真名,运行时近似名,其它UI状态命中,助手标记未被官方lua使用,助手用法摘要,助手备注首条,助手人工验证,证据,建议动作
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.GetPlayerObject(),Q-GameSummaryGetPlayerObject,GameSummary,GetPlayerObject,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,获取PlayerObject,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.GetRulesetTypes(),Q-GameSummaryGetRulesetTypes,GameSummary,GetRulesetTypes,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,获取RulesetTypes,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.LookupDataPoint(),Q-GameSummaryLookupDataPoint,GameSummary,LookupDataPoint,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,查询 LookupDataPoint,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.LookupDataSet(),Q-GameSummaryLookupDataSet,GameSummary,LookupDataSet,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,查询 LookupDataSet,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.SetDataPoint(),A-GameSummarySetDataPoint,GameSummary,SetDataPoint,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,设置DataPoint,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.SetDataSetValue(),Q-GameSummarySetDataSetValue,GameSummary,SetDataSetValue,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,,,[作用] 向指定数据集的指定回合写入一个数值,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.SetRulesetType(),A-GameSummarySetRulesetType,GameSummary,SetRulesetType,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,设置RulesetType,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.UpdateDataPoint(),A-GameSummaryUpdateDataPoint,GameSummary,UpdateDataPoint,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,执行 UpdateDataPoint,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,PlayerVisibility (Context),O-PlayerVisibility,PlayerVisibility,,,Colon (Instance),Both,Both,table/是,nil/否,文档偏宽：UI 未见,,,,,,PlayerVisibility 命名空间，包含 PlayerVisibility 相关的子函数,,UI=nil　GP=table,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,PlayerVisibility:GetState(),Q-PlayerVisibilityGetState,PlayerVisibility,GetState,,Colon (Instance),Both,Both,function/是,ERR/否,文档偏宽：UI 未见,,,,,,[作用] 查询指定单元格对当前玩家的可见状态,,UI=ERR　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,PlayerVisibility:IsRevealed(),Q-PlayerVisibilityIsRevealed,PlayerVisibility,IsRevealed,,Colon (Instance),Both,Both,function/是,ERR/否,文档偏宽：UI 未见,,,,,,[作用] 检查指定单元格对当前玩家是否已揭示（已探索）,,UI=ERR　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,PlayerVisibility:IsVisible(),Q-PlayerVisibilityIsVisible,PlayerVisibility,IsVisible,,Colon (Instance),Both,Both,function/是,ERR/否,文档偏宽：UI 未见,,,,,,[作用] 判断指定单元格是否在指定玩家的视野范围内,,UI=ERR　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,RouteBuilder (Context),C-RouteBuilder,RouteBuilder,,,Dot (Global),Both,Both,table/是,nil/否,文档偏宽：UI 未见,,,,,,RouteBuilder 命名空间，包含 RouteBuilder 相关的子函数,,UI=nil　GP=table,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,RouteBuilder.CanHaveRoute(),A-RouteBuilderCanHaveRoute,RouteBuilder,CanHaveRoute,,Dot (Global),Both,Both,function/是,ERR/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,执行 CanHaveRoute,,UI=ERR　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,RouteBuilder.SetRoutePillaged(),A-RouteBuilderSetRoutePillaged,RouteBuilder,SetRoutePillaged,,Dot (Global),Both,Both,function/是,ERR/否,文档偏宽：UI 未见,,,,,,设置道路的损毁状态,,UI=ERR　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,RouteBuilder.SetRouteType(),A-RouteBuilderSetRouteType,RouteBuilder,SetRouteType,,Dot (Global),Both,Both,function/是,ERR/否,文档偏宽：UI 未见,,,,,,[作用] 在指定单元格上设置路线类型,,UI=ERR　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,UI 专属被标 Both（原生）,Calendar (Context),C-Calendar,Calendar,,,Dot (Global),Both,Both,nil/否,table/是,文档偏宽：GP 未见,,,,,,Calendar 命名空间，包含 Calendar 相关的子函数,,GP=nil（该上下文不存在此面）　UI=table,availability 改为 UI
P1,L1 助手已收录,是,A availability 标错,UI 专属被标 Both（原生）,Calendar.GetTurnMonthForGame(),Q-CalendarGetTurnMonthForGame,Calendar,GetTurnMonthForGame,,Dot (Global),Both,Both,ERR/否,function/是,文档偏宽：GP 未见,,,,是,未在 lua 文件中找到此函数的使用,获取TurnMonthForGame,,GP=ERR（该上下文不存在此面）　UI=function,availability 改为 UI
P1,L1 助手已收录,是,A availability 标错,UI 专属被标 Both（原生）,Calendar.GetTurnYearForGame(),Q-CalendarGetTurnYearForGame,Calendar,GetTurnYearForGame,,Dot (Global),Both,Both,ERR/否,function/是,文档偏宽：GP 未见,,,,是,未在 lua 文件中找到此函数的使用,获取TurnYearForGame,,GP=ERR（该上下文不存在此面）　UI=function,availability 改为 UI
P1,L1 助手已收录,是,A availability 标错,UI 专属被标 Both（原生）,Calendar.MakeDateStr(),Q-CalendarMakeDateStr,Calendar,MakeDateStr,,Dot (Global),Both,Both,ERR/否,function/是,文档偏宽：GP 未见,,,,,,[作用] 将回合数转换为可读的日期字符串，用于巨作创建日期等场景,,GP=ERR（该上下文不存在此面）　UI=function,availability 改为 UI
P1,L1 助手已收录,是,A availability 标错,UI 专属被标 Both（原生）,Calendar.MakeYearStr(),Q-CalendarMakeYearStr,Calendar,MakeYearStr,,Dot (Global),Both,Both,ERR/否,function/是,文档偏宽：GP 未见,,,,,,[作用] 将游戏回合数转换为可读的年份日期字符串,,GP=ERR（该上下文不存在此面）　UI=function,availability 改为 UI
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,Achievements (Context),C-Achievements,Achievements,,,Dot (Global),UI,UI,table/是,table/是,文档偏窄：GP 亦可见,,,,,,Achievements 命名空间，包含 Achievements 相关的子函数,,GP=table　UI=table,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,Achievements.DeleteAchievementData(),A-AchievementsDeleteAchievementData,Achievements,DeleteAchievementData,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,执行 DeleteAchievementData,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,Achievements.GetAchievementData(),Q-AchievementsGetAchievementData,Achievements,GetAchievementData,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,获取AchievementData,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,Achievements.GetAchievementDescription(),Q-AchievementsGetAchievementDescription,Achievements,GetAchievementDescription,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,获取AchievementDescription,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,Achievements.GetAchievementDisplayName(),Q-AchievementsGetAchievementDisplayName,Achievements,GetAchievementDisplayName,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,获取AchievementDisplayName,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,Achievements.GetAchievementHash(),Q-AchievementsGetAchievementHash,Achievements,GetAchievementHash,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,获取AchievementHash,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,Achievements.GetAchievementName(),Q-AchievementsGetAchievementName,Achievements,GetAchievementName,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,获取AchievementName,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,Achievements.GetStat(),Q-AchievementsGetStat,Achievements,GetStat,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,获取Stat,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,Achievements.IsAchievementUnlocked(),Q-AchievementsIsAchievementUnlocked,Achievements,IsAchievementUnlocked,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,判断AchievementUnlocked，返回 boolean,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,GameSummary.CoalesceDataSet(),Q-GameSummaryCoalesceDataSet,GameSummary,CoalesceDataSet,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,,,[作用] 聚合指定数据集的回合数据，按玩家分组返回,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,GameSummary.GetDataSetCount(),Q-GameSummaryGetDataSetCount,GameSummary,GetDataSetCount,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,,,[作用] 获取游戏总结界面中可选数据集的个数，配合索引遍历所有数据集,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,GameSummary.GetDataSetDisplayDescription(),Q-GameSummaryGetDataSetDisplayDescription,GameSummary,GetDataSetDisplayDescription,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,获取DataSetDisplayDescription，返回 string,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,GameSummary.GetDataSetDisplayName(),Q-GameSummaryGetDataSetDisplayName,GameSummary,GetDataSetDisplayName,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,,,[作用] 获取指定索引数据集的显示名称（本地化键名）,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,GameSummary.GetDataSetName(),Q-GameSummaryGetDataSetName,GameSummary,GetDataSetName,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,,,[作用] 根据索引获取游戏总结图表数据集的名称,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,GameSummary.GetDataSetValue(),Q-GameSummaryGetDataSetValue,GameSummary,GetDataSetValue,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,获取DataSetValue,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,GameSummary.GetDataSetValues(),Q-GameSummaryGetDataSetValues,GameSummary,GetDataSetValues,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,获取DataSetValues,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,GameSummary.GetDataSetVisible(),Q-GameSummaryGetDataSetVisible,GameSummary,GetDataSetVisible,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,,,[作用] 判断指定索引的数据集当前是否可见,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,GameSummary.HasDataSetValues(),Q-GameSummaryHasDataSetValues,GameSummary,HasDataSetValues,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,,,[作用] 判断指定索引的数据集是否有实际数据值,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,PlayerVisibilityManager (Context),C-PlayerVisibilityManager,PlayerVisibilityManager,,,Dot (Global),UI,UI,table/是,table/是,文档偏窄：GP 亦可见,,,,,,PlayerVisibilityManager 命名空间，包含 PlayerVisibilityManager 相关的子函数,,GP=table　UI=table,availability 放宽为 Both
P1,L1 助手已收录,是,A availability 标错,标 UI 但 GP 亦可调,PlayerVisibilityManager.IsVisibleToNonOwner(),Q-PlayerVisibilityManagerIsVisibleToNonOwner,PlayerVisibilityManager,IsVisibleToNonOwner,,Dot (Global),UI,UI,function/是,function/是,文档偏窄：GP 亦可见,,,,是,未在 lua 文件中找到此函数的使用,判断VisibleToNonOwner，返回 boolean,,GP=function　UI=function,availability 放宽为 Both
P1,L1 助手已收录,是,B 文档名可修,三层压平：真名在元素对象上,Player:GetUnits():SetMilitaryFormation(),A-PlayerGetUnitsSetMilitaryFormation,Player,GetUnits,SetMilitaryFormation,Colon (Instance),Both,Both,nil/否,nil/否,文档偏宽：双端均未见,,,,,,[作用] 设置单位的军事编队类型（军团或军队）,,GP 侧 `Unit` 对象有 `SetMilitaryFormation`（经 Player:GetUnits() 的元素取得）,文档路径改为 Player:GetUnits():<元素>:SetMilitaryFormation()
P1,L1 助手已收录,是,B 文档名可修,挂错父级：名字在别的面存在,Map.GetImprovementBuilder():SetImprovementPillaged(),A-MapGetImprovementBuilderSetImprovementPillaged,Map,GetImprovementBuilder,SetImprovementPillaged,Dot (Global),Both,Both,ERR/否,ERR/否,文档偏宽：双端均未见,,,,,,[作用] 设置单元格上的改良设施损毁状态,,命中面 GP:ImprovementBuilder,核对文档层级后改路径
P1,L1 助手已收录,是,B 文档名可修,挂错父级：名字在别的面存在,TerrainBuilder.CanHaveResource(),Q-TerrainBuilderCanHaveResource,TerrainBuilder,CanHaveResource,,Dot (Global),GamePlay,GamePlay,nil/否,ERR/否,文档存疑：GP 未见,,,,是,AI 判断此根对象未使用此函数,"查询 CanHaveResource，参数：Plot, resourceIndex，返回 boolean",,命中面 GP:ResourceBuilder,核对文档层级后改路径
P1,L1 助手已收录,是,B 文档名可修,挂错父级：名字在别的面存在,TerrainBuilder.SetResourceType(),A-TerrainBuilderSetResourceType,TerrainBuilder,SetResourceType,,Dot (Global),GamePlay,GamePlay,nil/否,ERR/否,文档存疑：GP 未见,,,,,,[作用] 设置单元格上的资源类型和数量,,命中面 GP:ResourceBuilder,核对文档层级后改路径
P1,L1 助手已收录,是,B 文档名可修,挂错父级：真身是同名命名空间,Map.GetImprovementBuilder(),Q-MapGetImprovementBuilder,Map,GetImprovementBuilder,,Dot (Global),Both,Both,nil/否,nil/否,文档偏宽：双端均未见,,,,,,[作用] 获取地图的 ImprovementBuilder 对象，用于修改改良设施状态（如标记为掠夺）,,运行时存在命名空间 `ImprovementBuilder`（gp）,改为直接访问 `ImprovementBuilder.*`
P1,L1 助手已收录,是,B 文档名可修,近似名可对齐,Player:GetDiplomacy():GetAllianceLevelWithPlayer(),Q-PlayerGetDiplomacyGetAllianceLevelWithPlayer,Player,GetDiplomacy,GetAllianceLevelWithPlayer,Colon (Instance),Both,Both,nil/否,nil/否,文档偏宽：双端均未见,,GetAllianceLevel,,是,未在 lua 文件中找到此函数的使用,返回玩家的外交管理器，:IsAtWarWith() 可判断是否处于战争状态,,运行时近似名：GetAllianceLevel,确认是否改名/版本号差异
P1,L1 助手已收录,是,B 文档名可修,近似名可对齐,Player:SetScoringScenario(),A-PlayerSetScoringScenario,Player,SetScoringScenario,,Colon (Instance),Both,Both,nil/否,nil/否,文档偏宽：双端均未见,,SetScoringScenario1 SetScoringScenario2 SetScoringScenario3,,是,未在 lua 文件中找到此函数的使用,设置ScoringScenario,,运行时近似名：SetScoringScenario1、SetScoringScenario2、SetScoringScenario3,确认是否改名/版本号差异
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,DealManager.ViewWorkingDeal(),A-DealManagerViewWorkingDeal,DealManager,ViewWorkingDeal,,Dot (Global),Both,Both,nil/否,nil/否,文档偏宽：双端均未见,,,,是,未在 lua 文件中找到此函数的使用,执行 ViewWorkingDeal,,GP=nil/否　UI=nil/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,Game.ChangePlayerEraScore(),A-GameChangePlayerEraScore,Game,ChangePlayerEraScore,,Dot (Global),Both,Both,nil/否,nil/否,文档偏宽：双端均未见,,,,是,AI 判断此根对象未使用此函数,"修改PlayerEraScore，参数：playerID, amount",,GP=nil/否　UI=nil/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,Map.GetWorldSize(),Q-MapGetWorldSize,Map,GetWorldSize,,Dot (Global),Both,Both,nil/否,nil/否,文档偏宽：双端均未见,,,,是,AI 判断此根对象未使用此函数,获取WorldSize,,GP=nil/否　UI=nil/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,MapRoutes.GetIndexedPortal():GetEntrancePlotIndex(),Q-MapRoutesGetIndexedPortalGetEntrancePlotIndex,MapRoutes,GetIndexedPortal,GetEntrancePlotIndex,Dot (Global),Both,Both,ERR/否,ERR/否,文档偏宽：双端均未见,,,,是,未在 lua 文件中找到此函数的使用,获取IndexedPortal，返回 number,,GP=ERR/否　UI=ERR/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,MapRoutes.GetIndexedPortal():GetExitCount(),Q-MapRoutesGetIndexedPortalGetExitCount,MapRoutes,GetIndexedPortal,GetExitCount,Dot (Global),Both,Both,ERR/否,ERR/否,文档偏宽：双端均未见,,,,是,未在 lua 文件中找到此函数的使用,获取IndexedPortal，返回 number,,GP=ERR/否　UI=ERR/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,MapRoutes.GetIndexedPortal():GetExitPlotIndex(),Q-MapRoutesGetIndexedPortalGetExitPlotIndex,MapRoutes,GetIndexedPortal,GetExitPlotIndex,Dot (Global),Both,Both,ERR/否,ERR/否,文档偏宽：双端均未见,,,,是,未在 lua 文件中找到此函数的使用,获取IndexedPortal，返回 number,,GP=ERR/否　UI=ERR/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,MapRoutes.GetIndexedPortal():HasEntranceAt(),Q-MapRoutesGetIndexedPortalHasEntranceAt,MapRoutes,GetIndexedPortal,HasEntranceAt,Dot (Global),Both,Both,ERR/否,ERR/否,文档偏宽：双端均未见,,,,是,未在 lua 文件中找到此函数的使用,获取IndexedPortal，返回 boolean,,GP=ERR/否　UI=ERR/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,MapRoutes.GetIndexedPortal():HasExitAt(),Q-MapRoutesGetIndexedPortalHasExitAt,MapRoutes,GetIndexedPortal,HasExitAt,Dot (Global),Both,Both,ERR/否,ERR/否,文档偏宽：双端均未见,,,,是,未在 lua 文件中找到此函数的使用,获取IndexedPortal，返回 boolean,,GP=ERR/否　UI=ERR/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,Modding.ActivateAllowedDLC(),A-ModdingActivateAllowedDLC,Modding,ActivateAllowedDLC,,Dot (Global),Both,Both,ERR/否,nil/否,文档偏宽：双端均未见,,,,,,[作用] 激活当前多人游戏允许的 DLC，同时会激活/停用相关的 Mods,,GP=ERR/否　UI=nil/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,Modding.ActivateDLC(),A-ModdingActivateDLC,Modding,ActivateDLC,,Dot (Global),Both,Both,ERR/否,nil/否,文档偏宽：双端均未见,,,,,,[作用] 重置 DLC 激活状态，防止游戏设置从不同场景间传递,,GP=ERR/否　UI=nil/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,Player:ChangeDiplomaticFavor(),A-PlayerChangeDiplomaticFavor,Player,ChangeDiplomaticFavor,,Colon (Instance),Both,Both,nil/否,nil/否,文档偏宽：双端均未见,,,,是,AI 判断此根对象未使用此函数,修改DiplomaticFavor,,GP=nil/否　UI=nil/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,Player:GetAi_Diplomacy():GenerateToolTips(),A-PlayerGetAi_DiplomacyGenerateToolTips,Player,GetAi_Diplomacy,GenerateToolTips,Colon (Instance),Both,Both,nil/否,ERR/否,文档偏宽：双端均未见,,,,是,未在 lua 文件中找到此函数的使用,获取Ai_Diplomacy,,GP=nil/否　UI=ERR/否,裁决：删除条目 / 标注版本或 DLC 条件
P2,L1 助手已收录,是,C 运行时确无此名,文档偏宽：双端均未见,Player:GetAi_Diplomacy():GetNumToolTips(),Q-PlayerGetAi_DiplomacyGetNumToolTips,Player,GetAi_Diplomacy,GetNumToolTips,Colon (Instance),Both,Both,nil/否,ERR/否,文档偏宽：双端均未见,,,,是,未在 lua 文件中找到此函数的使用,获取Ai_Diplomacy,,GP=nil/否　UI=ERR/否,裁决：删除条目 / 标注版本或 DLC 条件
